FID,STREETNAME,CLASS,ADMIN_TYPE,RT_NUMBER,ALTRTNUM1,ALTRTNUM2,ALTRTNUM3,ALTRTNUM4,ALTRT1TYPE,RDTYPE,ROUTE_ID,ROUTE_SYST,ROUTE_NUMB,ROUTE_DIRE,RD_SEG_ID,STREET_NAM,FM_ST_NAME,TO_ST_NAME,FACILITY,F_CLASS,URBAN_AREA,URBAN_TYPE,F_F_CLASS,JURISDICTN,NHS,FD_AID_RTE,FD_AID_RD,CONTROL,NUM_LANES,OPP_LANES,SURFACE_TP,SURFACE_WD,SHLDR_RT_W,SHLDR_RT_T,SHLDR_LT_W,SHLDR_LT_T,SHLDR_UL_W,SHLDR_UL_T,MED_WIDTH,MED_TYPE,CURB,LT_SIDEWLK,RT_SIDEWLK,OPERATION,SPEED_LIM,OP_DIR_SL,TRUCK,T_EXC_TYPE,T_EXC_TIME,TRK_NETWRK,TRUCK_RTE,ROW_WIDTH,STRUCT_CND,TERRAIN,TOLL_ROAD,MHS,MGIS_TOWN,CITY,COUNTY,HWY_DIST,MPO,RPA,RTA,MILE_COUNT,AADT,AADT_YEAR,AADT_DERIV,LENGTH_MI,LENGTH_FT,SHAPE_Leng,Shape__Length
7818,FANEUIL STREET,5,0, , , , , ,0,5,N2514 EB,N,2514,EB,56488,FANEUIL STREET,MARKET STREET,WASHINGTON STREET,1,6,09271,1,5,2,0,   4,3,0,2,0,6,35,0,0,0,0,0,0,0,0,3,6,6,2,0,0, ,1,1,0,0,47,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3937,2016,14,0.04767426,251.72010798,76.7244423598,251.720107978516
7819,MIDDLESEX STREET,5,0, , , , , ,0,5,L111720 NB,L,111720,NB,0,MIDDLESEX STREET,MAIN STREET,LYNDEBORO STREET,1,0,09271,1,7,2,0, ,0,0,2,0,4,20,0,0,0,0,0,0,0,0,3,5,5,2,0,0, ,1,1,0,0,30,3,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.03241084,171.12924613,52.1602985425,171.129246132955
7820,WOLCOTT COURT,5,0, , , , , ,0,5,L199478 EB,L,199478,EB,0,WOLCOTT COURT,DEAD END,NEPONSET VALLEY PARKWAY,1,0,09271,1,7,2,0, ,0,0,2,0,2,29,0,0,0,0,0,0,0,0,0,0,0,2,0,0, ,1,1,0,0,48,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.09701791,512.25456178,156.135502702,512.254561779166
7821,POND STREET,5,0, , , , , ,0,5,L130006 EB,L,130006,EB,0,POND STREET,ARBORWAY,JAMAICAWAY,1,0,09271,1,7,2,0, ,0,0,2,0,6,24,0,0,0,0,0,0,0,0,3,0,8,2,0,0, ,1,1,0,0,40,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.12202383,644.28583703,196.378715885,644.285837034609
7822,MARION STREET,5,0, , , , , ,0,5,N2313 SB,N,2313,SB,44176,MARION STREET,MERIDIAN STREET,BREMEN STREET,1,6,09271,1,5,2,0, 116,3,0,2,0,6,33,0,0,0,0,0,0,0,0,3,8,8,1,0,0, ,1,1,0,0,49,1,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,4094,2016,14,0.04596201,242.67939382,73.9688271734,242.679393813184
7823,LAMSON STREET,5,0, , , , , ,0,5,L186654 NB,L,186654,NB,0,LAMSON STREET,WEBSTER STREET,DEAD END,1,0,09271,1,7,2,0, ,0,0,2,0,6,23,0,0,0,0,0,0,0,0,3,8,8,2,0,0, ,1,1,0,0,49,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.04714522,248.92675332,75.8730261567,248.926753318691
7824,PARK STREET,5,0, , , , , ,0,5,N3066 EB,N,3066,EB,47701,PARK STREET,DEAD END,FREEPORT STREET,1,6,09271,1,5,2,0,  55,3,0,2,0,6,28,0,0,0,0,0,0,0,0,3,5,5,2,0,0, ,1,1,0,0,38,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3853,2016,14,0.07975342,421.09808342,128.350952528,421.098083420738
7825,TALBOT AVENUE,4,0, , , , , ,0,4,N1643 EB,N,1643,EB,57595,TALBOT AVENUE,DORCHESTER AVENUE,BLUE HILL AVENUE,1,5,09271,1,4,2,0,  55,3,0,2,0,6,41,0,0,0,0,0,0,0,0,3,10,10,2,0,0, ,1,1,0,0,61,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10419,2016,14,0.01469392,77.58389654,23.6476189616,77.5838965416124
7826,COMMONWEALTH AVENUE FRONTAGE ROAD EB,5,0, , , , , ,0,5,L141881 NB,L,141881,NB,0,COMMONWEALTH AVENUE FRONTAGE ROAD EB,CHESTNUT HILL AVENUE,BRIGHTON AVENUE,1,0,09271,1,7,2,0, ,0,0,2,0,6,24,0,0,0,0,0,0,0,0,3,0,10,1,0,0, ,1,1,0,0,40,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.21737835,1147.75770287,349.837247509,1147.75770287032
7827,SHAWMUT AVENUE,4,0, , , , , ,0,4,N1597 SB,N,1597,SB,45437,SHAWMUT AVENUE,TREMONT STREET,MALCOLM X BOULEVARD,1,5,09271,1,4,2,0,  54,3,0,2,0,6,42,0,0,0,0,0,0,0,0,3,9,9,1,0,0, ,1,1,0,0,60,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10462,2016,14,0.0462872,244.3964385,74.4921834396,244.396438504338
7828,PUBLIC ALLEY NO 433,5,0, , , , , ,0,5,L155765 EB,L,155765,EB,0,PUBLIC ALLEY NO 433,EXETER STREET,FAIRFIELD STREET,1,0,09271,1,7,2,0, ,0,0,1,0,6,8,0,0,0,0,0,0,0,0,3,4,4,2,0,0, ,1,1,0,0,16,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.12520922,661.10466241,201.505104114,661.104662409691
