OID_,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Length,shape_wkt
1,Veterans Of Foreign Wars Parkway,6212500.000000000000000,2,3,1,2013,BL,0.001884610126404,"MULTILINESTRING M ((-71.168281688999969 42.290672467000036 NAN, -71.168396929999972 42.290591773000074 NAN, -71.168799613999965 42.290323969000042 NAN, -71.169262831999959 42.290001756000038 NAN, -71.169820128999959 42.28958472100004 NAN))"
2,Veterans Of Foreign Wars Parkway,4847800.000000000000000,2,3,1,2013,BL,0.000912323553528,"MULTILINESTRING M ((-71.168107839999948 42.290489215000036 NAN, -71.167767896999976 42.290693619000081 NAN, -71.167317057999981 42.29094391700005 NAN))"
3,Veterans Of Foreign Wars Parkway,4838800.000000000000000,2,3,1,2013,BL,0.000915277193314,"MULTILINESTRING M ((-71.166557851999983 42.291311413000074 NAN, -71.165736196999944 42.291714669000044 NAN))"
4,Lake Street,4547801.000000000000000,6,2,,2010,SLM,0.001258480816121,"MULTILINESTRING M ((-71.166118083999947 42.340679268000031 NAN, -71.166108807999933 42.34082267000008 NAN, -71.166099783999982 42.341130433000046 NAN, -71.166052816999979 42.341479156000048 NAN, -71.165999649999947 42.341601668000067 NAN, -71.165901050999935 42.341780313000072 NAN, -71.165840410999976 42.341880854000067 NAN))"
5,Commonwealth Avenue,5141000.000000000000000,3,2,1,2013,SLM,0.002589769657624,"MULTILINESTRING M ((-71.166117176999933 42.339955042000042 NAN, -71.165535563999981 42.340004554000075 NAN, -71.16477157099996 42.340048470000056 NAN, -71.16409019699995 42.340067297000076 NAN, -71.163531038999963 42.340064538000036 NAN))"
6,Commonwealth Avenue,5673800.000000000000000,3,2,1,2013,SLM,0.002603241205295,"MULTILINESTRING M ((-71.163531038999963 42.340064538000036 NAN, -71.162542110999937 42.34004701300006 NAN, -71.161551297999949 42.340028909000068 NAN, -71.160928759999933 42.340000639000039 NAN))"
7,Lake Street,4540000.000000000000000,6,2,,2010,SLM,0.000950212552710,"MULTILINESTRING M ((-71.165840410999976 42.341880854000067 NAN, -71.165688994999982 42.342115055000079 NAN, -71.165325544999973 42.342679488000044 NAN))"
8,Lake Street,4535900.000000000000000,6,2,,2010,SLM,0.001984797099978,"MULTILINESTRING M ((-71.165325544999973 42.342679488000044 NAN, -71.164826568999956 42.343303739000078 NAN, -71.164426506999973 42.343689694000034 NAN, -71.164207519999934 42.343934948000026 NAN, -71.164033278999966 42.34418032800005 NAN))"
9,Faneuil Street,5454700.000000000000000,3,2,,2010,BL,0.000456987824553,"MULTILINESTRING M ((-71.168628609999985 42.351067359000069 NAN, -71.169085434999943 42.351079557000048 NAN))"
10,Washington Street,4505600.000000000000000,3,2,,2010,BL,0.000669542440503,"MULTILINESTRING M ((-71.163093170999957 42.349049824000076 NAN, -71.162763097999971 42.349031976000049 NAN, -71.16242531599994 42.349003416000073 NAN))"
11,Faneuil Street,4485300.000000000000000,6,2,,2017,SLM,0.000717746668358,"MULTILINESTRING M ((-71.164329692999956 42.352216827000063 NAN, -71.163946381999949 42.352293917000054 NAN, -71.163623336999933 42.352343053000027 NAN))"
12,Veterans Of Foreign Wars Parkway,5107800.000000000000000,2,3,1,2013,BL,0.001007735102847,"MULTILINESTRING M ((-71.156930112999987 42.295632175000037 NAN, -71.156591108999976 42.295651702000043 NAN, -71.15625911799998 42.295653272000038 NAN, -71.155923808999944 42.295629165000037 NAN))"
13,Beacon Street,4600100.000000000000000,3,2,,2009,BFBL,0.000692386657260,"MULTILINESTRING M ((-71.157882075999964 42.331651534000059 NAN, -71.157707807999941 42.331623447000027 NAN, -71.157490672999984 42.331599166000046 NAN, -71.157314948999954 42.331594702000075 NAN, -71.157193400999972 42.331598281000026 NAN))"
14,Centre Street,5137800.000000000000000,5,2,,2023,SBL,0.000517755306496,"MULTILINESTRING M ((-71.156966538999939 42.283735063000051 NAN, -71.156915946999959 42.283911597000042 NAN, -71.156841284999985 42.28423726300008 NAN))"
15,Commonwealth Avenue,6227100.000000000000000,3,2,1,2013,BL,0.002002002395599,"MULTILINESTRING M ((-71.157788665999988 42.339716854000073 NAN, -71.158400723999989 42.339847408000026 NAN, -71.158964392999962 42.339961618000075 NAN, -71.159758490999934 42.340066942000078 NAN))"
16,Washington Street,4506300.000000000000000,3,2,,2010,BL,0.000506892699878,"MULTILINESTRING M ((-71.15915711699995 42.348924001000057 NAN, -71.158996421999973 42.348937593000073 NAN, -71.158830556999987 42.348959047000051 NAN, -71.158654241999955 42.348986092000075 NAN))"
17,Faneuil Street,4481600.000000000000000,6,2,,2017,BL,0.000533586673197,"MULTILINESTRING M ((-71.160178549999955 42.352695290000042 NAN, -71.160054873999968 42.352770884000051 NAN, -71.15986658099996 42.352870486000029 NAN, -71.159730950999972 42.352982058000066 NAN))"
18,Faneuil Street,5648900.000000000000000,6,2,,2017,BL,0.000647760520164,"MULTILINESTRING M ((-71.15805985999998 42.354082766000033 NAN, -71.157467854999936 42.354345680000051 NAN))"
19,Baker Street,5437300.000000000000000,6,2,,2014,BL,0.001081038188247,"MULTILINESTRING M ((-71.177991143999975 42.294253026000035 NAN, -71.177581105999934 42.294073930000025 NAN, -71.177006811999945 42.29380629700006 NAN))"
20,Veterans Of Foreign Wars Parkway,4984800.000000000000000,2,3,1,2013,BL,0.000802111685419,"MULTILINESTRING M ((-71.172096421999981 42.276808928000037 NAN, -71.171822863999978 42.27756295000006 NAN))"
21,Veterans Of Foreign Wars Parkway,4933300.000000000000000,2,3,1,2013,BL,0.004563976173494,
22,Veterans Of Foreign Wars Parkway,6222500.000000000000000,2,3,1,2013,BL,0.002756162467331,"MULTILINESTRING M ((-71.17156922099997 42.287981014000025 NAN, -71.171717337999951 42.287768177000032 NAN, -71.171889193999959 42.287450053000043 NAN, -71.172067417999983 42.287085999000055 NAN, -71.172176098999955 42.286798762000046 NAN, -71.172295836999979 42.286378060000061 NAN, -71.172345501999985 42.286134297000046 NAN, -71.172388640999941 42.285816069000077 NAN, -71.172417704999987 42.285544013000049 NAN, -71.172432264999941 42.285402851000072 NAN))"
23,Baker Street,5688000.000000000000000,6,2,,2014,BL,0.000383047869584,"MULTILINESTRING M ((-71.173775766999938 42.290997379000032 NAN, -71.173808949999966 42.291039411000042 NAN, -71.174022283999989 42.291290521000064 NAN))"
24,Commonwealth Avenue,5717400.000000000000000,3,2,1,2013,SLM,0.000365556368990,"MULTILINESTRING M ((-71.155130992999943 42.33849297200004 NAN, -71.155015863999949 42.338438475000032 NAN, -71.154799791999949 42.338338261000047 NAN))"
25,Chestnut Hill Avenue,5701700.000000000000000,5,2,,2010,SLM,0.001221149939837,"MULTILINESTRING M ((-71.152319675999934 42.337209438000059 NAN, -71.152985870999942 42.337790850000033 NAN, -71.153228974999934 42.33802412700004 NAN))"
26,Chestnut Hill Avenue,4534000.000000000000000,5,2,,2013,BL,0.000614608154403,"MULTILINESTRING M ((-71.153471479999951 42.343217737000032 NAN, -71.153428432999988 42.343316139000081 NAN, -71.153408918999958 42.34348359300003 NAN, -71.153413356999977 42.343643237000038 NAN, -71.153436294999949 42.343820670000071 NAN))"
27,Western Avenue,5126300.000000000000000,5,2,,2024,SBL,0.000705591470672,"MULTILINESTRING M ((-71.132209309999951 42.363254570000038 NAN, -71.131789474999948 42.363169390000053 NAN, -71.131521871999951 42.363097072000073 NAN))"
28,Washington Street,5304500.000000000000000,3,2,,2010,SLM,0.000418146380145,"MULTILINESTRING M ((-71.154438431999949 42.349146462000078 NAN, -71.154180149999945 42.349146031000032 NAN, -71.154020285999934 42.349146112000028 NAN))"
29,Market Street,5789600.000000000000000,5,2,,2013,BL,0.000178301589504,"MULTILINESTRING M ((-71.153071112999953 42.349902507000024 NAN, -71.152964556999962 42.35004546600004 NAN))"
30,Washington Street,4504200.000000000000000,3,2,,2010,SLM,0.000837788439875,"MULTILINESTRING M ((-71.153452388999938 42.34912789200007 NAN, -71.152615751999974 42.349083983000071 NAN))"
31,Washington Street,5304400.000000000000000,3,2,,2010,BL,0.000524993366789,"MULTILINESTRING M ((-71.152615751999974 42.349083983000071 NAN, -71.152091424999981 42.349057540000047 NAN))"
32,Washington Street,5824200.000000000000000,3,2,,2010,SLM,0.000496537611187,"MULTILINESTRING M ((-71.151106710999954 42.349017966000076 NAN, -71.150878586999966 42.34901762800007 NAN, -71.150610221999955 42.349022723000076 NAN))"
33,Market Street,5273900.000000000000000,5,2,,2013,BL,0.000225021219896,"MULTILINESTRING M ((-71.150087566999957 42.354620204000071 NAN, -71.149965173999988 42.354809028000034 NAN))"
34,Belgrade Avenue,4899500.000000000000000,3,2,,2009,BL,0.000837062216516,"MULTILINESTRING M ((-71.147775546999981 42.286003578000077 NAN, -71.147054938999986 42.286025562000077 NAN, -71.146938820999935 42.286026033000041 NAN))"
35,Veterans Of Foreign Wars Parkway,6287101.000000000000000,2,3,1,2013,BL,0.000881855760868,"MULTILINESTRING M ((-71.146734154999933 42.296457805000045 NAN, -71.146395398999971 42.296453500000041 NAN, -71.146162484999934 42.296428587000037 NAN, -71.146007419999933 42.296370177000028 NAN, -71.145890477999956 42.296287652000046 NAN))"
36,Veterans Of Foreign Wars Parkway,5212800.000000000000000,2,3,1,2013,BL,0.012996914165709,
37,Western Avenue,4438100.000000000000000,5,2,,2024,SBL,0.000637544721704,"MULTILINESTRING M ((-71.145144089999974 42.36160604500003 NAN, -71.144517124999936 42.361721709000051 NAN))"
38,Perkins Street,6276500.000000000000000,5,3,1,2008,BL,0.000899356392835,"MULTILINESTRING M ((-71.12395622799994 42.319317884000043 NAN, -71.124187043999939 42.319231984000055 NAN, -71.124713969999959 42.31901201200003 NAN, -71.124791000999949 42.318983679000041 NAN))"
39,Centre Street,4828700.000000000000000,5,2,,2019,BFBL,0.000796555076852,"MULTILINESTRING M ((-71.138509511999985 42.292341037000028 NAN, -71.13789632199996 42.292849464000028 NAN))"
40,Everett Street,5719400.000000000000000,6,2,,2017,BLSL,0.000119109970705,"MULTILINESTRING M ((-71.138841136999986 42.354506649000029 NAN, -71.138801771999965 42.354619066000055 NAN))"
41,Western Avenue,5126200.000000000000000,5,2,,2024,SBL,0.001027254799213,"MULTILINESTRING M ((-71.139649390999978 42.362620855000046 NAN, -71.139241872999946 42.362687658000027 NAN, -71.138634627999977 42.362780476000069 NAN))"
42,Centre Street,5148000.000000000000000,5,2,,2010,SLM,0.000467090620598,"MULTILINESTRING M ((-71.136704554999937 42.293838844000049 NAN, -71.136339092999947 42.294129724000072 NAN))"
43,Cambridge Street,4468100.000000000000000,3,2,,2015,BL,0.000743814260915,"MULTILINESTRING M ((-71.135079338999958 42.354551750000041 NAN, -71.134496810999963 42.354798044000063 NAN, -71.134395827999981 42.354844983000078 NAN))"
44,Brighton Avenue,6244500.000000000000000,3,2,1,2013,SLM,0.003655241143250,"MULTILINESTRING M ((-71.132106748999945 42.353069743000049 NAN, -71.135735709999949 42.35350727000008 NAN))"
45,Brighton Avenue,5261700.000000000000000,3,2,1,2019,SLM,0.001099456658973,"MULTILINESTRING M ((-71.133172684999977 42.353086090000033 NAN, -71.132081847999984 42.352948687000037 NAN))"
46,Franklin Street,4447700.000000000000000,0,2,,2010,SLM,0.000348317975856,"MULTILINESTRING M ((-71.133161891999976 42.359396511000057 NAN, -71.133112299999937 42.359607917000062 NAN, -71.133068523999953 42.359731570000065 NAN))"
47,Franklin Street,4442100.000000000000000,0,2,,2010,SLM,0.001077435722784,"MULTILINESTRING M ((-71.132398639999963 42.360476106000078 NAN, -71.132366254999965 42.360500196000032 NAN, -71.131983940999987 42.360814636000043 NAN, -71.131573694999986 42.361168937000059 NAN))"
48,Western Avenue,5126600.000000000000000,5,2,,2015,BLSL,0.000781394093357,"MULTILINESTRING M ((-71.135332079999955 42.36318404900004 NAN, -71.134762201999933 42.363263268000026 NAN, -71.134558310999978 42.363292923000074 NAN))"
49,River Street,5076100.000000000000000,5,2,,2012,BLSL,0.000378756399537,"MULTILINESTRING M ((-71.128591408999966 42.25456024500005 NAN, -71.128701895999939 42.254382793000048 NAN, -71.12880211199996 42.25424582100004 NAN))"
50,Cummins Highway,5154600.000000000000000,3,2,,2012,BL,0.001584606650917,"MULTILINESTRING M ((-71.122013307999964 42.281554185000061 NAN, -71.121795329999941 42.28140877800007 NAN, -71.121070731999964 42.280934295000066 NAN, -71.120675989999938 42.280705104000049 NAN))"
51,Washington Street,5705200.000000000000000,3,2,,2009,BL-PEAKBUS,0.000819383629763,"MULTILINESTRING M ((-71.123072355999966 42.291208254000026 NAN, -71.122464062999939 42.291757225000026 NAN))"
52,Centre Street,5731300.000000000000000,2,3,1,2011,BL,0.001424700453700,"MULTILINESTRING M ((-71.124203786999942 42.306042250000075 NAN, -71.124063543999966 42.306290946000047 NAN, -71.123921466999946 42.306504303000054 NAN, -71.123664779999956 42.306838262000042 NAN, -71.123468264999985 42.307091390000039 NAN, -71.123390038999958 42.307208927000033 NAN))"
53,Centre Street,6235300.000000000000000,2,3,1,2011,BL,0.002517662806090,"MULTILINESTRING M ((-71.12263171099994 42.308401392000064 NAN, -71.122915917999933 42.307998877000045 NAN, -71.12329436999994 42.307492014000047 NAN, -71.123578355999939 42.307125511000038 NAN, -71.123927576999961 42.306688321000081 NAN, -71.124146144999941 42.306390814000054 NAN))"
54,South Huntington Avenue,4631500.000000000000000,5,2,,2023,SBL,0.000647033078112,"MULTILINESTRING M ((-71.112258560999976 42.323914409000054 NAN, -71.112262999999984 42.323993763000033 NAN, -71.112270980999938 42.324331404000077 NAN, -71.112259524999956 42.324560938000047 NAN))"
55,Huntington Avenue,5627300.000000000000000,3,2,1,2013,SLM,0.000760235279255,"MULTILINESTRING M ((-71.113507407999975 42.331779874000063 NAN, -71.112748694999937 42.331827960000055 NAN))"
56,South Huntington Avenue,5128000.000000000000000,5,2,,2010,SLM,0.001273773581452,"MULTILINESTRING M ((-71.111593200999948 42.330795497000054 NAN, -71.111827500999937 42.331392713000071 NAN, -71.112045358999978 42.331986234000055 NAN))"
57,Commonwealth Avenue,5118700.000000000000000,3,2,1,2019,SBL,0.000892046613656,"MULTILINESTRING M ((-71.115798412999936 42.351025509000067 NAN, -71.114913115999968 42.350915981000071 NAN))"
58,Commonwealth Avenue,5118600.000000000000000,3,2,1,2019,SBL,0.001135398540476,"MULTILINESTRING M ((-71.114913115999968 42.350915981000071 NAN, -71.113784929999952 42.350788207000051 NAN))"
59,River Street,5737500.000000000000000,5,2,,2012,SLM,0.000194317479406,"MULTILINESTRING M ((-71.128181189999964 42.254959554000038 NAN, -71.128066476999948 42.255018267000025 NAN, -71.128005949999988 42.255043176000072 NAN))"
60,Washington Street,4870700.000000000000000,3,2,,2009,BL-PEAKBUS,0.000481257690776,"MULTILINESTRING M ((-71.126312618999975 42.288157820000038 NAN, -71.125965268999948 42.288490922000051 NAN))"
61,Centre Street,6238600.000000000000000,2,3,1,2011,BL,0.000381720054275,"MULTILINESTRING M ((-71.130068544999972 42.298192561000064 NAN, -71.130090572999961 42.298184192000065 NAN, -71.130367665999984 42.298011212000063 NAN, -71.130396169999983 42.297997799000029 NAN))"
62,Centre Street,4790100.000000000000000,2,3,1,2011,BL,0.000400234793101,"MULTILINESTRING M ((-71.130276840999954 42.297891630000038 NAN, -71.130101065999952 42.297977158000037 NAN, -71.129976101999944 42.298057780000079 NAN, -71.12992855899995 42.298087451000072 NAN))"
63,Walter Street,6240300.000000000000000,6,2,,2016,BL,0.000175054826556,"MULTILINESTRING M ((-71.12992855899995 42.298087451000072 NAN, -71.130068544999972 42.298192561000064 NAN))"
64,Walter Street,4806700.000000000000000,6,2,,2016,BLSL,0.002022409414775,"MULTILINESTRING M ((-71.129326341999956 42.296506045000058 NAN, -71.129332249999948 42.296371023000063 NAN, -71.129358303999936 42.29622424300004 NAN, -71.129430055999933 42.29604047600003 NAN, -71.129534580999973 42.295891141000027 NAN, -71.130205726999975 42.295175314000062 NAN, -71.130442212999981 42.29488122500004 NAN))"
65,Walter Street,5222300.000000000000000,6,2,,2016,BLSL,0.001181962250443,"MULTILINESTRING M ((-71.129326341999956 42.296506045000058 NAN, -71.129350681999938 42.296652425000048 NAN, -71.129430523999986 42.29680292200004 NAN, -71.129449367999939 42.296843316000036 NAN, -71.129555158999949 42.297070035000047 NAN, -71.129729939999947 42.297380640000029 NAN, -71.129819579999946 42.297572805000073 NAN))"
66,Centre Street,6277300.000000000000000,2,3,1,2011,BL,0.000695888848314,"MULTILINESTRING M ((-71.125399653999978 42.302887119000047 NAN, -71.125661366999964 42.302563866000071 NAN, -71.125816783999937 42.302330992000066 NAN))"
67,North Harvard Street,5222000.000000000000000,5,2,,2012,BL,0.000239387588734,"MULTILINESTRING M ((-71.128689787999974 42.360231437000039 NAN, -71.128879814999948 42.360377026000037 NAN))"
68,North Harvard Street,5814001.000000000000000,5,2,,2009,BLSL,0.000626417428661,"MULTILINESTRING M ((-71.129755677999981 42.36320618600007 NAN, -71.12994994099995 42.363038570000072 NAN, -71.130090309999957 42.36287528400004 NAN, -71.130182810999941 42.362751522000053 NAN))"
69,North Harvard Street,5180600.000000000000000,5,2,,2009,BL,0.002151520275897,"MULTILINESTRING M ((-71.129755677999981 42.36320618600007 NAN, -71.129604487999984 42.363337368000032 NAN, -71.129376671999978 42.363500372000033 NAN, -71.128526240999975 42.364128392000055 NAN, -71.128030170999978 42.364490277000073 NAN))"
70,Western Avenue,5151500.000000000000000,5,2,,2021,SBL,0.000709441504882,"MULTILINESTRING M ((-71.125449100999958 42.363562483000067 NAN, -71.125022128999944 42.363594290000037 NAN, -71.124742003999984 42.363619825000058 NAN))"
71,American Legion Highway,5694800.000000000000000,5,2,1,2009,BFBL,0.002292303364884,"MULTILINESTRING M ((-71.119087297999954 42.272498646000031 NAN, -71.118828018999977 42.272493845000042 NAN, -71.118656897999983 42.27250790800008 NAN, -71.118460930999959 42.272558460000027 NAN, -71.118157089999954 42.272688559000073 NAN, -71.11786247699996 42.27285863600008 NAN, -71.117592470999966 42.273061995000035 NAN, -71.117311930999961 42.273348596000062 NAN, -71.117154347999985 42.273541547000036 NAN))"
72,Cummins Highway,4931300.000000000000000,3,2,,2012,BL,0.001109900697116,"MULTILINESTRING M ((-71.12449548799998 42.283914850000031 NAN, -71.124368448999974 42.283710742000039 NAN, -71.124247560999947 42.283458260000032 NAN, -71.124162578999972 42.283221655000034 NAN, -71.124041476999935 42.28300687400008 NAN, -71.123976879999987 42.28294195400008 NAN))"
73,Perkins Street,4648600.000000000000000,5,3,1,2008,BL,0.001129501321322,"MULTILINESTRING M ((-71.119618918999947 42.321463756000071 NAN, -71.119193782999957 42.321393703000069 NAN, -71.118507035999983 42.321265384000071 NAN))"
74,Chestnut Street,6251200.000000000000000,5,3,1,2007,BL,0.001463281892084,"MULTILINESTRING M ((-71.118507035999983 42.321265384000071 NAN, -71.119034384999964 42.321421870000052 NAN, -71.119258056999968 42.321486193000055 NAN, -71.11936441499995 42.321546195000053 NAN, -71.11943869199996 42.321613960000036 NAN, -71.11947558199995 42.321721553000032 NAN, -71.119515988999979 42.322063238000055 NAN))"
75,Commonwealth Avenue,5119400.000000000000000,3,2,1,2010,BL,0.000698398193224,"MULTILINESTRING M ((-71.124097160999952 42.352019200000029 NAN, -71.123403468999982 42.351938259000065 NAN))"
76,Commonwealth Avenue,6276000.000000000000000,3,2,1,2019,SBL,0.001557697547172,"MULTILINESTRING M ((-71.121261035999964 42.351880476000076 NAN, -71.122807102999957 42.352070472000037 NAN))"
77,Truman Highway,6233200.000000000000000,5,3,,0,BL,0.004789132072435,
78,American Legion Highway,6291500.000000000000000,5,2,1,2009,SLM,0.001516331466113,"MULTILINESTRING M ((-71.116780487999961 42.279100324000069 NAN, -71.116751038999951 42.278801999000052 NAN, -71.11667601299996 42.278553602000045 NAN, -71.116593805999969 42.278396340000029 NAN, -71.116394759999935 42.278170038000042 NAN, -71.116215118999946 42.277961806000064 NAN, -71.116095104999943 42.277797798000051 NAN))"
79,American Legion Highway,5121000.000000000000000,5,2,1,2009,SLM,0.003296332831375,
80,Walk Hill Street,5690500.000000000000000,5,2,,2014,SLM,0.000826236502736,"MULTILINESTRING M ((-71.113400490999936 42.293126954000059 NAN, -71.113758873999984 42.293546797000033 NAN, -71.113969176999944 42.293722800000069 NAN))"
81,North Beacon Street,5233900.000000000000000,3,2,,2024,SBL,0.000826136539037,"MULTILINESTRING M ((-71.153736393999964 42.357489257000054 NAN, -71.153598164999948 42.357404681000048 NAN, -71.153449364999972 42.357335878000072 NAN, -71.153194630999963 42.357234393000056 NAN, -71.152977431999943 42.357172142000024 NAN))"
82,Centre Street,4884000.000000000000000,3,2,,2023,SBL,0.001391848619872,"MULTILINESTRING M ((-71.150071920999949 42.28729915100007 NAN, -71.149714247999952 42.287261483000066 NAN, -71.149008339999966 42.287193496000043 NAN, -71.148771095999962 42.287166888000058 NAN, -71.148687009999946 42.287161002000062 NAN))"
83,Birmingham Parkway,5311900.000000000000000,3,3,1,2024,SBLSL,0.001209203206040,"MULTILINESTRING M ((-71.14712373499998 42.35937300900008 NAN, -71.146487351999951 42.360401206000063 NAN))"
84,North Beacon Street,5147800.000000000000000,3,2,,2024,SBL,0.000988028509923,"MULTILINESTRING M ((-71.139066790999948 42.353799651000031 NAN, -71.138085418999935 42.353685155000051 NAN))"
85,North Beacon Street,5147700.000000000000000,3,2,1,2024,SBL,0.000630013331079,"MULTILINESTRING M ((-71.138085418999935 42.353685155000051 NAN, -71.137470099999973 42.35354988000006 NAN))"
86,Milton Street,5387400.000000000000000,3,2,,2023,BFBL,0.000262188309821,"MULTILINESTRING M ((-71.134854013999984 42.238728690000073 NAN, -71.134653843999956 42.238898026000072 NAN))"
87,Milton Street,5631200.000000000000000,3,1,,2020,SLM,0.000967805487289,"MULTILINESTRING M ((-71.133772989999954 42.239650915000027 NAN, -71.133716449999952 42.23963948200003 NAN, -71.133569080999962 42.239621569000064 NAN, -71.13347590799998 42.239597680000031 NAN, -71.133357547999935 42.239567436000073 NAN, -71.133258846999979 42.239546861000065 NAN, -71.133076822999953 42.239498451000031 NAN, -71.133053612999959 42.239484876000063 NAN, -71.133009909999942 42.239480795000077 NAN, -71.132877049999934 42.239441544000044 NAN, -71.132834014999958 42.239429002000065 NAN))"
88,Wolcott Court,5100100.000000000000000,0,2,,2020,SLM,0.001299015539308,"MULTILINESTRING M ((-71.13190179299994 42.237244480000072 NAN, -71.131702256999972 42.237603964000073 NAN, -71.131404198999974 42.238269801000058 NAN, -71.131329938999954 42.238409672000046 NAN))"
89,Western Avenue,5859000.000000000000000,3,1,,2021,BL,0.000331479697396,"MULTILINESTRING M ((-71.117825833999973 42.364183694000076 NAN, -71.11815719699996 42.364174899000034 NAN))"
90,Cummins Highway,5162100.000000000000000,3,2,,2020,SBL,0.001321356845309,"MULTILINESTRING M ((-71.116378032999933 42.278867715000047 NAN, -71.116084915999977 42.278636970000036 NAN, -71.115956666999978 42.278536007000071 NAN, -71.11534228499994 42.278047228000048 NAN))"
91,Mount Hope Street,5218800.000000000000000,0,2,,2021,CFBL,0.002130014885197,"MULTILINESTRING M ((-71.118193471999973 42.284534413000074 NAN, -71.11787011499996 42.284308828000064 NAN, -71.117207659999963 42.283863788000076 NAN, -71.116842424999959 42.283611045000043 NAN, -71.116647459999967 42.283490540000059 NAN, -71.116427311999985 42.283344247000059 NAN))"
92,South Street,5735800.000000000000000,5,2,,2010,SLM,0.000165334205830,"MULTILINESTRING M ((-71.114447747999975 42.302175670000054 NAN, -71.114450517999956 42.302340981000043 NAN))"
93,South Street,5736000.000000000000000,5,2,,2010,SLM,0.000202525790704,"MULTILINESTRING M ((-71.114670291999971 42.305500048000056 NAN, -71.114742538999963 42.305614114000036 NAN, -71.114771735999966 42.30567497800007 NAN))"
94,Centre Street,4736000.000000000000000,5,2,,2011,SLM,0.000608980196566,"MULTILINESTRING M ((-71.117314412999974 42.308962810000025 NAN, -71.117164882999987 42.308993824000027 NAN, -71.116722621999941 42.309106009000061 NAN))"
95,Centre Street,5852700.000000000000000,5,2,,2010,BL,0.000555055478635,"MULTILINESTRING M ((-71.115472829999987 42.309683653000036 NAN, -71.115360288999966 42.309868558000062 NAN, -71.115133210999943 42.310119719000056 NAN))"
96,Centre Street,4721700.000000000000000,5,2,,2010,BL,0.000661966065447,"MULTILINESTRING M ((-71.114572790999944 42.310991134000062 NAN, -71.114495657999953 42.311239020000073 NAN, -71.114397380999947 42.311629190000076 NAN))"
97,Perkins Street,5291300.000000000000000,5,2,,2010,SLM,0.000700704545168,"MULTILINESTRING M ((-71.115194712999937 42.321141242000067 NAN, -71.11494634099995 42.321181487000047 NAN, -71.114501639999958 42.321244142000069 NAN))"
98,Centre Street,4661200.000000000000000,5,2,,2010,SLM,0.000509038715283,"MULTILINESTRING M ((-71.111934639999959 42.319114183000067 NAN, -71.111669639999946 42.319548804000078 NAN))"
99,River Street,5858200.000000000000000,5,2,,2013,SLM,0.000065768733628,"MULTILINESTRING M ((-71.10034707899996 42.264466132000052 NAN, -71.10028946999995 42.264497861000052 NAN))"
100,Jewish War Veterans Drive,5190500.000000000000000,5,2,,2009,BL,0.006224170022651,
101,Seaver Street,5148900.000000000000000,3,2,1,2016,BFBL,0.001700877681042,"MULTILINESTRING M ((-71.092871140999989 42.31063045500008 NAN, -71.093008026999939 42.310800306000033 NAN, -71.093123089999949 42.31097346100006 NAN, -71.09319409699998 42.311101441000062 NAN, -71.09325905299994 42.311316052000052 NAN, -71.093302441999981 42.311466443000029 NAN, -71.093383568999968 42.311759330000029 NAN, -71.093483140999979 42.31219182500007 NAN))"
102,Walk Hill Street,5688700.000000000000000,5,2,,2015,BL,0.001836145593273,"MULTILINESTRING M ((-71.107948061999934 42.288624412000047 NAN, -71.109408298999938 42.289737578000029 NAN))"
103,American Legion Highway,5119700.000000000000000,5,2,1,2020,SBL,0.002966807693830,"MULTILINESTRING M ((-71.109198919999983 42.286150513000052 NAN, -71.10859299699996 42.286506404000079 NAN, -71.108531163999942 42.286548957000036 NAN, -71.108179162999988 42.286762703000079 NAN, -71.108113931999981 42.286802431000069 NAN, -71.107789876999959 42.28700051900006 NAN, -71.107352896999942 42.287261235000074 NAN, -71.10705553799994 42.287430155000038 NAN, -71.106652205999978 42.287671853000063 NAN))"
104,Arborway,5241800.000000000000000,0,3,1,2018,SBL,0.000554110253324,"MULTILINESTRING M ((-71.111584888999971 42.30123252900006 NAN, -71.111031571999945 42.301262168000051 NAN))"
105,James Shea Circle,5764000.000000000000000,2,1,1,2018,SBL,0.000478913220262,"MULTILINESTRING M ((-71.106990000999986 42.300373438000065 NAN, -71.106855200999973 42.300292512000055 NAN, -71.106732092999948 42.300254650000056 NAN, -71.106541235999941 42.300226730000077 NAN))"
106,Forest Hills Entrance Drive,5630000.000000000000000,5,2,,2009,BL,0.003883495090521,
107,Williams Street,4756700.000000000000000,0,2,,2017,SLMTC,0.000733403266068,"MULTILINESTRING M ((-71.106168125999943 42.305284006000079 NAN, -71.105634566999981 42.304780821000065 NAN))"
108,Centre Street,4650900.000000000000000,5,2,,2010,SLM,0.000294199189806,"MULTILINESTRING M ((-71.110693948999938 42.320761466000079 NAN, -71.110532449999937 42.321007375000079 NAN))"
109,Centre Street,4638100.000000000000000,5,2,,2010,BLSL,0.000289614218024,"MULTILINESTRING M ((-71.105156631999932 42.322710848000042 NAN, -71.104867621999972 42.322729546000062 NAN))"
110,Huntington Avenue,4587900.000000000000000,3,2,,2013,SLM,0.000597481401998,"MULTILINESTRING M ((-71.106140065999966 42.333496370000034 NAN, -71.10561710199994 42.33378532100005 NAN))"
