OID_,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Length,shape_wkt
1081,Seaport Boulevard,6197700.000000000000000,3,2,,2012,SLM,0.000613313095361,"MULTILINESTRING M ((-71.051408798999944 42.354764326000065 NAN, -71.051536946999988 42.354865901000039 NAN, -71.051724042999979 42.355013923000058 NAN, -71.051889881999955 42.355144736000057 NAN))"
1082,Broad Street,5487200.000000000000000,5,2,,2013,SLM,0.000374642177939,"MULTILINESTRING M ((-71.052684137999961 42.357448763000036 NAN, -71.052337775999945 42.357305969000038 NAN))"
1083,Atlantic Avenue,5424100.000000000000000,3,2,,2011,BL,0.000870953692833,"MULTILINESTRING M ((-71.052185498999961 42.360322068000073 NAN, -71.05223067299994 42.360385217000044 NAN, -71.052369988999942 42.36054583300006 NAN, -71.05253668499995 42.360714210000026 NAN, -71.052809311999965 42.360923598000056 NAN))"
1084,High Street,5624700.000000000000000,3,2,,2011,BL,0.000695033142586,"MULTILINESTRING M ((-71.05217664099996 42.356580051000037 NAN, -71.051917206999974 42.356635761000064 NAN, -71.051628178999977 42.356688113000075 NAN, -71.051492225999937 42.356687583000053 NAN))"
1085,Commercial Street,5149700.000000000000000,5,2,,2017,SBL,0.000453012905535,"MULTILINESTRING M ((-71.052507816999935 42.367196408000041 NAN, -71.052318213999968 42.367118757000071 NAN, -71.052090298999985 42.367020671000034 NAN))"
1086,Neponset Avenue,5205700.000000000000000,5,2,,2012,BLSL,0.000916556841499,"MULTILINESTRING M ((-71.04415023699994 42.286464005000028 NAN, -71.043859933999954 42.286341312000047 NAN, -71.043670191999979 42.286252558000058 NAN, -71.043315193999945 42.286086499000078 NAN))"
1087,Drydock Avenue,5278600.000000000000000,0,2,,2013,BL,0.002590258756701,"MULTILINESTRING M ((-71.036931092999964 42.344637860000034 NAN, -71.03434120299994 42.344681566000077 NAN))"
1088,Northern Avenue,5198300.000000000000000,5,5,,2017,SLM,0.001273192099961,"MULTILINESTRING M ((-71.037515073999941 42.348269146000064 NAN, -71.036335246999954 42.347790579000048 NAN))"
1089,Marginal Street,4432700.000000000000000,0,2,,2015,SLM,0.001980849474977,"MULTILINESTRING M ((-71.039124907999962 42.366716841000027 NAN, -71.037306724999951 42.365930727000034 NAN))"
1090,Maverick Street,4430000.000000000000000,5,2,,2015,BL,0.000726994799932,"MULTILINESTRING M ((-71.035516194999957 42.368671170000027 NAN, -71.036183608999977 42.368959406000045 NAN))"
1091,Chelsea Street,5281800.000000000000000,5,2,,2010,BL,0.000328386994801,"MULTILINESTRING M ((-71.035896266999941 42.372378902000037 NAN, -71.036146071999951 42.372165746000064 NAN))"
1092,Chelsea Street,5717600.000000000000000,5,2,,2010,BL,0.000396305144914,"MULTILINESTRING M ((-71.035337514999981 42.372862790000056 NAN, -71.035036942999966 42.373121081000079 NAN))"
1093,Meridian Street,4416600.000000000000000,3,2,,2013,BLSL,0.000724190960075,"MULTILINESTRING M ((-71.039162894999947 42.377144076000036 NAN, -71.039191796999944 42.377867690000073 NAN))"
1094,Maverick Street,4433400.000000000000000,0,2,,2015,BL,0.001063085383121,"MULTILINESTRING M ((-71.028865491999966 42.365759369000045 NAN, -71.027887133999968 42.365343477000067 NAN))"
1095,Veterans Of Foreign Wars Parkway,5171000.000000000000000,2,3,1,2013,SLM,0.000924206989580,"MULTILINESTRING M ((-71.169613978999962 42.289448640000046 NAN, -71.168871129999957 42.289998489000027 NAN))"
1096,Faneuil Street,4479000.000000000000000,6,2,,2017,BL,0.000906805603841,"MULTILINESTRING M ((-71.159730950999972 42.352982058000066 NAN, -71.159346459999938 42.353276328000049 NAN, -71.15901467499998 42.353538116000038 NAN))"
1097,Bennington Street,4393300.000000000000000,5,2,,2008,SLM,0.002668130822357,"MULTILINESTRING M ((-71.015103736999947 42.383864945000028 NAN, -71.01257974899994 42.38473005000003 NAN))"
1098,Saratoga Street,5826300.000000000000000,5,2,1,2012,BL,0.001332933623500,"MULTILINESTRING M ((-71.006795649999958 42.386672669000063 NAN, -71.007354652999936 42.38685176000007 NAN, -71.007841958999961 42.38703960600003 NAN, -71.007913093999946 42.387080875000038 NAN, -71.008046137999941 42.387128898000071 NAN))"
1099,Veterans Of Foreign Wars Parkway,5017700.000000000000000,2,3,1,2013,BL,0.002100793120891,"MULTILINESTRING M ((-71.173025781999968 42.272087558000067 NAN, -71.173364746999937 42.272506599000053 NAN, -71.173510519999979 42.272741652000036 NAN, -71.173616442999958 42.272998152000071 NAN, -71.173687823999956 42.273234553000066 NAN, -71.173717754999984 42.273463133000064 NAN, -71.173712742999953 42.273766067000054 NAN, -71.173670106999964 42.273989306000033 NAN))"
1100,Veterans Of Foreign Wars Parkway,6213600.000000000000000,2,3,1,2013,BL,0.001080066840270,"MULTILINESTRING M ((-71.173459271999945 42.272248028000035 NAN, -71.17308699299997 42.271860966000077 NAN, -71.172728464999977 42.271453119000057 NAN))"
1101,Veterans Of Foreign Wars Parkway,6288900.000000000000000,2,3,1,2013,SLM,0.000743060846588,"MULTILINESTRING M ((-71.172106317999976 42.277568895000059 NAN, -71.172369200999981 42.276873890000047 NAN))"
1102,Veterans Of Foreign Wars Parkway,6238900.000000000000000,2,3,1,2013,BL,0.000700724753787,"MULTILINESTRING M ((-71.170895655999971 42.28102367300005 NAN, -71.170900200999938 42.280813161000026 NAN, -71.170911307999972 42.280671986000073 NAN, -71.170950339999933 42.280479546000038 NAN, -71.170992582999986 42.280333332000055 NAN))"
1103,Beacon Street,5357800.000000000000000,3,2,,2009,BL,0.000665420338353,"MULTILINESTRING M ((-71.165437593999968 42.333680858000037 NAN, -71.165190724999945 42.333699261000049 NAN, -71.164776654999969 42.333755460000077 NAN))"
1104,Faneuil Street,5454600.000000000000000,3,2,,2017,SLM,0.000503630782899,"MULTILINESTRING M ((-71.168072786999971 42.351098957000033 NAN, -71.167809804999933 42.351160089000075 NAN, -71.167584185999942 42.351220771000044 NAN))"
1105,Washington Street,5799300.000000000000000,3,2,,2010,BL,0.001083987785109,"MULTILINESTRING M ((-71.164268691999951 42.349667709000073 NAN, -71.163744956999949 42.349336450000067 NAN, -71.163542820999965 42.34922444700004 NAN, -71.163385679999976 42.349140145000035 NAN, -71.163333390999981 42.34912352300006 NAN))"
1106,Faneuil Street,5363900.000000000000000,6,2,,2017,BL,0.000912448905125,"MULTILINESTRING M ((-71.167584185999942 42.351220771000044 NAN, -71.167385315999979 42.351279276000071 NAN, -71.166726677999975 42.351531139000031 NAN))"
1107,Faneuil Street,4486700.000000000000000,6,2,,2017,SLM,0.000412838778546,"MULTILINESTRING M ((-71.165115570999944 42.352007549000064 NAN, -71.164719165999941 42.352122870000073 NAN))"
1108,Veterans Of Foreign Wars Parkway,6212300.000000000000000,2,3,1,2013,SLM,0.001497627013013,"MULTILINESTRING M ((-71.161288981999974 42.294133403000046 NAN, -71.162033247999943 42.293777164000062 NAN, -71.162636602999953 42.293480152000029 NAN))"
1109,Faneuil Street,4464700.000000000000000,6,2,,2017,SLM,0.001901165435109,"MULTILINESTRING M ((-71.156135310999957 42.355361626000047 NAN, -71.155848814999956 42.355556580000041 NAN, -71.155675773999974 42.355639336000081 NAN, -71.155465242999981 42.355711295000049 NAN, -71.155254759999934 42.355738798000061 NAN, -71.154999448999945 42.355743658000051 NAN, -71.15432932799996 42.355684817000053 NAN))"
1110,Market Street,4488700.000000000000000,5,2,,2013,BL,0.001060592724145,"MULTILINESTRING M ((-71.151915924999969 42.351648749000049 NAN, -71.151718340999935 42.351953122000054 NAN, -71.151366826999947 42.352555816000063 NAN))"
