"","start_station","n","start_lat","start_lng"
"92","Beacon St at Englewood Ave",802,42.3373691537093,-71.1448597723211
"93","Beacon St at Hawes St",2028,42.3449678332853,-71.1104017690377
"94","Beacon St at Massachusetts Ave",227020,42.3508339110808,-71.0898542188583
"95","Beacon St at St. Paul St",4287,42.3437309499872,-71.1161410716158
"96","Beacon St at Tappan St",37256,42.3382065571156,-71.1389746727249
"97","Beacon St at Washington / Kirkland",84443,42.3787087168841,-71.1069173748495
"98","Beacon at Walnut",1564,42.3299761120502,-71.2067291676718
"99","Belgrade Ave at Walworth St",3549,42.2863490397861,-71.1368245289546
"100","Bellevue T Stop",1199,42.2861224275532,-71.1465907900212
"101","Bellingham Square",2300,42.3933414967701,-71.0332402018253
"102","Bennington St at Byron St",7709,42.3835742966682,-71.0161183297264
"103","Bennington St at Constitution Beach",9462,42.3851849520137,-71.0106019261911
"104","Bennington St at Constitution Beach (former)",15,42.385249,-71.010601
"105","Bennington St at Marion St",1475,42.3759127288889,-71.0359815227639
"106","Berkshire Street at Cambridge Street",95147,42.3720565321139,-71.0899854525957
"107","Big Papi Station",1824,42.3473447317743,-71.1001680795016
"108","Bike Town at Moakley Park",2729,42.3258727050909,-71.0491390777091
"109","Binney St / Sixth St",78500,42.3660502706971,-71.0863504998382
"110","Blossom St at Charles St",50129,42.3637154153635,-71.06874919128
"111","Blossom St at Charles St 1 1 1",3,42.363134,-71.067499
"112","Blue Hill Ave at Almont St",1218,42.2746207518349,-71.0937125960403
"113","Blue Hill Ave at Almont St (former)",6,42.2745452552876,-71.0937201605157
"114","Blue Hill Ave at Havelock St",1745,42.2859475434353,-71.0911180979871
"115","Blue Hill Ave at Southwood St",4330,42.3178829342335,-71.0779608810934
"116","Blue Hill Ave at Southwood St (former)",17,42.31784,-71.07796
"117","Boston City Hall - 28 State St",152904,42.3587780390006,-71.0577854357623
"118","Boston College T",13695,42.3398955660094,-71.1671080787003
"119","Boston Convention & Exhibition Center",7705,42.3475,-71.0441
"120","Boston Convention and Exhibition Center - Summer St at West Side Dr",43107,42.3476581702418,-71.0453232890749
"121","Boston East - 126 Border St",8811,42.3733376243358,-71.0409638309085
"122","Boston Landing",25344,42.3564793903852,-71.1417001137232
"123","Boston Medical Center -  East Concord at Harrison Ave",16711,42.336437,-71.073089
"124","Boston Medical Center - E Concord St at Harrison Ave",81801,42.3364289722537,-71.0731632956458
"125","Boston Public Library - 700 Boylston St.",35216,42.349673,-71.077303
"126","Boston Public Market",32568,42.3625485440933,-71.0573735833168
"127","Boston Public Market - Surface Rd at Sudbury St",11207,42.3624944056582,-71.0574234001646
